Pizza,,
Queen,"Sauce tomate à l'origan, mozzarella, jambon, champignons frais",9
4 Fromages,"Sauce tomate à l'origan ou crème fraîche légère, mozzarella, fromage de chèvre, emmental, Fourme d'Ambert AOP",10
Montagnarde,"Crème fraîche légère, mozzarella, jambon cru, fromage à raclette, champignons frais",12
Dessert,,
Café gourmand,"Coeur Fondant au chocolat, café, the",7
Moelleux au chocolat,"Amandes, tout juste sorti du four",6
Glaces,,
Coupe antillaise,"Rhum-Raisin (3 boules), rhum(3cl)",3
Colonel italien,"Citron (3 boules), Grappa Plave(3cl)","3.2"
Fresca coulis,"Sorbets: citron, frambose, fruit de la passion, coulis de framboise","3.7"